50	141	48548
100	154	105141
150	153	143801
200	174	248963
250	157	272189
300	170	357741
350	178	508848
400	165	377606
450	200	709232
500	152	482765
550	143	620878
600	155	780836
650	148	819636
700	164	1105625
750	170	973783
800	160	927075
850	142	954281
900	147	801378
950	154	1189628
50	141	48548
100	154	105141
150	153	143801
200	174	248963
250	157	272189
300	170	357741
350	178	508848
400	165	377606
450	200	709232
500	152	482765
550	143	620878
600	155	780836
650	148	819636
700	164	1105625
750	170	973783
800	160	927075
850	142	954281
900	147	801378
950	154	1189628
